tick,loss,loss_delta,in_transit
532,53304,-22,26652
533,52710,-594,26355
534,52710,0,26355
535,52710,0,24888
536,52710,0,26355
537,52142,-568,26071
538,52142,0,24153
539,51836,-306,25770
540,50252,-1584,25126
541,50252,0,25126
542,50252,0,25126
543,50252,0,24544
544,50252,0,25126
545,49522,-730,24761
546,49278,-244,24343
547,49158,-120,24579
548,49158,0,24579
549,49152,-6,24493
550,49152,0,24576
551,49152,0,24576
552,49152,0,24283
553,48722,-430,24361
554,48722,0,23805
555,48622,-100,23997
556,48126,-496,23986
557,48126,0,24016
558,48126,0,24063
559,48126,0,22777
560,48126,0,23705
561,48046,-80,24023
562,47864,-182,23656
563,47864,0,23932
564,47864,0,23686
565,47864,0,23932
566,47452,-412,23726
567,46904,-548,23326
568,46138,-766,22996
569,46138,0,23029
570,45778,-360,22889
571,45778,0,22832
572,44818,-960,22000
573,44818,0,22119
574,44818,0,22041
575,44818,0,22409
576,44818,0,21966
577,44772,-46,22252
578,44284,-488,22142
579,44284,0,22142
580,43576,-708,21115
581,43576,0,21788
582,43576,0,21406
583,43358,-218,21617
584,43358,0,20950
585,43358,0,21228
586,43358,0,21371
587,43358,0,21631
588,43358,0,21679
589,43358,0,21679
590,43336,-22,21515
591,43336,0,21172
592,43336,0,21274
593,43336,0,20984
594,42774,-562,21387
595,42562,-212,21281
596,42434,-128,20719
597,42388,-46,20182
598,42142,-246,21071
599,41162,-980,20301
600,40348,-814,19944
601,39742,-606,19871
602,39394,-348,19697
603,39394,0,19697
604,39318,-76,19491
605,38986,-332,18502
606,38580,-406,19290
607,37834,-746,18373
608,37834,0,18779
609,37834,0,18917
610,37588,-246,17143
611,37588,0,18794
612,37588,0,18501
613,37188,-400,18169
614,36912,-276,18456
615,36616,-296,18308
616,36616,0,18209
617,36616,0,18308
618,36616,0,18067
619,36616,0,18308
620,36616,0,18308
621,36616,0,18308
622,36616,0,18308
623,36616,0,18246
624,36214,-402,17472
625,36214,0,18067
626,36214,0,18107
627,36214,0,18107
628,35834,-380,17681
629,35684,-150,17625
630,35678,-6,17761
631,35678,0,17839
632,35678,0,17839
633,35678,0,17635
634,35426,-252,17257
635,34834,-592,17417
636,34562,-272,17224
637,34562,0,17281
638,34082,-480,15933
639,33232,-850,16616
640,33004,-228,16382
641,32670,-334,16335
642,32670,0,16335
643,32670,0,16335
644,32670,0,16335
645,32670,0,16335
646,32670,0,16335
647,32246,-424,15998
648,32246,0,16123
649,32246,0,15967
650,32246,0,16123
651,31482,-764,15689
652,30872,-610,15436
653,30872,0,14880
654,30136,-736,15068
655,29556,-580,14778
656,29448,-108,14676
657,29438,-10,14719
658,29438,0,14719
659,29438,0,14440
660,29164,-274,14582
661,29038,-126,14519
662,28302,-736,14151
663,28242,-60,14121
664,28242,0,14121
665,28242,0,14121
666,28242,0,14121
667,28242,0,14059
668,27754,-488,13877
669,27754,0,13696
670,27640,-114,13820
671,27640,0,13820
672,26432,-1208,13216
673,26432,0,13216
674,25856,-576,12636
675,25358,-498,12255
676,25160,-198,11982
677,25160,0,12292
678,25160,0,12423
679,24222,-938,11548
680,23590,-632,11397
681,23590,0,11795
682,23590,0,11661
683,23590,0,11795
684,23510,-80,11740
685,22878,-632,11286
686,22878,0,11439
687,22878,0,11439
688,22842,-36,11353
689,22842,0,11166
690,22654,-188,11027
691,22330,-324,10921
692,22330,0,11165
693,22330,0,11165
694,22330,0,11165
695,22072,-258,10487
696,22072,0,11036
697,21976,-96,10747
698,21976,0,10988
699,21976,0,10740
700,21976,0,10988
701,21976,0,10988
702,21976,0,10988
703,21862,-114,10126
704,21262,-600,10087
705,21262,0,10591
706,21262,0,10373
707,20640,-622,9954
708,20330,-310,9872
709,19820,-510,9910
710,19820,0,9910
711,19820,0,9832
712,19780,-40,9672
713,19780,0,9734
714,19780,0,9890
715,19780,0,9890
716,19648,-132,9817
717,19568,-80,9784
718,19568,0,9784
719,19568,0,9664
720,19568,0,9784
721,19568,0,9580
722,19568,0,9784
723,19568,0,9784
724,19568,0,9784
725,19568,0,9659
726,19568,0,9784
727,19012,-556,8702
728,18698,-314,9349
729,18698,0,9349
730,18698,0,9349
731,18698,0,9349
732,18698,0,9234
733,18012,-686,8909
734,17908,-104,8921
735,17908,0,8954
736,17908,0,8954
737,17908,0,8847
738,17908,0,8954
739,17908,0,8954
740,17908,0,8954
741,17908,0,8954
742,17908,0,8061
743,17908,0,8954
744,17908,0,8954
745,17908,0,8954
746,17908,0,8954
747,17546,-362,8773
748,17176,-370,8588
749,17176,0,8588
750,17176,0,8327
751,15936,-1240,7968
752,15936,0,7968
753,15936,0,7906
754,15936,0,7968
755,15528,-408,7764
756,15514,-14,7757
757,15514,0,7757
758,15514,0,7626
759,15514,0,7757
760,14718,-796,7359
761,14718,0,7359
762,14450,-268,7225
763,14150,-300,6981
764,14150,0,7075
765,13940,-210,6970
766,13940,0,6970
767,13940,0,6970
768,13326,-614,6663
769,13326,0,6663
770,12654,-672,6327
771,12356,-298,6021
772,12356,0,6178
773,12356,0,5693
774,12262,-94,5568
775,12126,-136,6063
776,12126,0,5907
777,12126,0,6063
778,12126,0,6063
779,12126,0,6001
780,11970,-156,5985
781,11970,0,5985
782,11776,-194,5888
783,11776,0,5888
784,11776,0,5888
785,11776,0,5888
786,11776,0,5670
787,11776,0,5888
788,11776,0,5888
789,11536,-240,5508
790,10244,-1292,5122
791,9658,-586,4829
792,9658,0,4829
793,9658,0,4829
794,9658,0,4829
795,9658,0,4829
796,9658,0,4829
797,9658,0,4829
798,9658,0,4829
799,9658,0,4676
