tick,loss,loss_delta,in_transit
757,26956,-134,13718
758,26672,-284,13547
759,26550,-122,13565
760,26424,-126,13588
761,26308,-116,13526
762,26118,-190,13178
763,25950,-168,13124
764,25904,-46,13091
765,25842,-62,13210
766,25842,0,13194
767,25842,0,13335
768,25842,0,13130
769,25734,-108,13171
770,25676,-58,13054
771,25666,-10,13034
772,25520,-146,13007
773,25520,0,12937
774,25486,-34,13008
775,25338,-148,12941
776,25120,-218,12544
777,25120,0,12649
778,24986,-134,12647
779,24982,-4,12484
780,24982,0,12553
781,24716,-266,12366
782,24700,-16,12438
783,24674,-26,12697
784,24674,0,12480
785,24564,-110,12376
786,24380,-184,12317
787,24282,-98,12519
788,23988,-294,12253
789,23950,-38,12265
790,23910,-40,12145
791,23640,-270,12001
792,23640,0,12110
793,23640,0,12098
794,23640,0,11923
795,23640,0,12015
796,23578,-62,11969
797,23574,-4,11900
798,23398,-176,12026
799,22996,-402,11755
