solo,duo,seed,dt,score_for_solo,final_tick
v12,v7,1271,16,1.0,1281
v8,v9,1272,16,0.0,2847
v9,v8,1273,16,0.0,1009
v8,v9,1274,16,0.0,994
v9,v8,1275,16,1.0,4000
v8,v10,1276,16,1.0,778
v10,v8,1277,16,0.0,1991
v8,v10,1278,16,1.0,1987
v10,v8,1279,16,0.0,661
v8,v11,1280,16,1.0,655
v11,v8,1281,16,0.0,684
v8,v11,1282,16,1.0,636
v11,v8,1283,16,0.0,714
v8,v12,1284,16,1.0,889
v12,v8,1285,16,0.0,794
v8,v12,1286,16,0.0,1171
v12,v8,1287,16,1.0,2496
v9,v10,1288,16,1.0,755
v10,v9,1289,16,0.0,777
v9,v10,1290,16,1.0,793
v10,v9,1291,16,0.0,869
v9,v11,1292,16,1.0,843
v11,v9,1293,16,0.0,693
v9,v11,1294,16,1.0,754
v11,v9,1295,16,0.0,685
v9,v12,1296,16,0.0,678
v12,v9,1297,16,1.0,1686
v9,v12,1298,16,0.0,1223
v12,v9,1299,16,0.0,834
v10,v11,1300,16,1.0,969
v11,v10,1301,16,0.0,1049
v10,v11,1302,16,1.0,817
v11,v10,1303,16,0.0,696
v10,v12,1304,16,0.0,700
v12,v10,1305,16,1.0,1094
v10,v12,1306,16,0.0,1143
v12,v10,1307,16,1.0,816
v11,v12,1308,16,0.0,954
v12,v11,1309,16,1.0,686
v11,v12,1310,16,0.0,791
v12,v11,1311,16,1.0,722
